DateTime,AddedIPs,RemovedIPs
1539896200,106,15
1539896417,121,144
1539898097,98,90
1539899104,141,109
1539900039,13,26
1539900902,119,95
1539901957,25,24
1539902109,54,88
1539903876,361,1
1539904624,101,118
1539906045,76,22
1539908186,15,14
1539909003,1166,472
1539910109,81,89
1539912010,54,43
1539912488,99,72
1539913945,11,8
1539914557,108,223
1539915858,36,11
1539917805,9,15
1539918036,140,186
1539919693,84,85
1539919825,50,0
1539921678,126,186
1539922513,256,0
1539923540,80,102
1539925465,105,181
1539927025,98,104
1539927381,10,27
1539927609,60,122
1539929300,13,16
1539929703,92,93
1539931216,26,27
1539931502,104,132
1539933141,18,21
1539933304,108,51
1539934090,77,0
1539935054,13,15
1539935768,127,107
1539936989,17,23
1539937828,106,76
1539938897,10,14
1539939622,48,145
1539940142,93,99
1539940941,15,18
1539941419,28,0
1539942747,181,194
1539942968,57,0
1539944671,19,797
1539945024,101,77
1539946569,39,20
1539947703,127,179
1539948759,476,1
1539950916,121,137
1539952226,214,85
1539952822,26,10
1539953408,113,159
1539954753,34,8
1539956666,104,87
1539956703,117,126
1539956947,121,33
1539958596,21,8
1539959428,98,66
1539960501,144,128
1539962430,163,144
1539962888,54,0
1539964612,11,5
1539964825,124,195
1539965495,0,2520
1539966742,171,99
1539968114,113,147
1539968659,18,12
1539969316,89,128
1539970589,19,20
1539971107,95,176
1539972525,504,14
1539973817,187,352
1539974430,26,21
1539974703,50,160
1539976361,16,23
1539976502,89,89
1539977094,87,1
1539978274,35,19
1539978304,61,144
1539980192,146,143
1539981024,275,0
1539981307,86,65
1539982110,15,22
1539982823,94,278
1539984041,129,72
1539985956,101,117
1539986168,88,0
1539987872,23,11
1539988220,59,82
1539988509,73,87
1539989773,25,17
1539990034,84,27
1539991708,316,0
1539991803,125,67
1539993647,100,164
1539995559,577,557
1539995786,75,89
1539997475,72,7
1539998526,73,94
1539999376,24,13
1539999903,90,139
1540001311,7,10
1540002130,147,89
1540003250,10,13
1540003503,76,102
1540005164,97,110
1540005304,29,0
1540007058,9,7
1540007104,110,128
1540007768,45,0
1540009219,11,16
1540009829,332,125
1540011133,137,175
1540011917,79,76
1540013058,12,16
1540014985,118,119
1540016103,95,101
1540017161,41,22
1540017902,148,110
1540019069,9,26
1540019704,183,116
1540020972,25,14
1540021503,117,367
1540022896,27,20
1540023303,100,134
1540024836,128,25
1540025109,47,163
1540025766,56,0
1540026762,18,12
1540027696,175,95
1540028655,7,13
1540029630,61,102
1540030590,91,956
1540031431,14,0
1540032493,34,28
1540033229,117,328
1540034413,362,0
1540035003,76,9
1540036337,95,193
1540038259,125,101
1540038912,85,113
1540040185,19,18
1540041306,151,172
1540042094,17,4
1540043103,94,187
1540044036,24,7
1540044903,84,65
1540045944,29,5
1540046107,75,128
1540046704,21,19
1540047869,22,13
1540048447,109,65
1540048667,504,0
1540049792,19,19
1540050127,83,151
1540051748,23,1038
1540052105,86,122
1540053022,282,0
1540053621,141,170
1540054849,103,128
1540055544,22,11
1540056007,93,0
1540057461,81,180
1540058166,72,49
1540058425,508,0
